"(0, 0), neighbors:2500, best: (25, 25), C, 0"
"(0, 1), neighbors:2500, best: (25, 26), C, 0"
"(0, 2), neighbors:2500, best: (25, 27), C, 0"
"(0, 3), neighbors:2500, best: (25, 28), D, 0"
"(0, 4), neighbors:2500, best: (25, 29), D, 0"
"(0, 5), neighbors:2500, best: (25, 30), D, 0"
"(0, 6), neighbors:2500, best: (25, 31), D, 0"
"(0, 7), neighbors:2500, best: (25, 32), C, 0"
"(0, 8), neighbors:2500, best: (25, 33), C, 0"
"(0, 9), neighbors:2500, best: (25, 34), C, 0"
"(0, 10), neighbors:2500, best: (25, 35), C, 0"
"(0, 11), neighbors:2500, best: (25, 36), D, 0"
"(0, 12), neighbors:2500, best: (25, 37), C, 0"
"(0, 13), neighbors:2500, best: (25, 38), D, 0"
"(0, 14), neighbors:2500, best: (25, 39), D, 0"
"(0, 15), neighbors:2500, best: (25, 40), D, 0"
"(0, 16), neighbors:2500, best: (25, 41), C, 0"
"(0, 17), neighbors:2500, best: (25, 42), C, 0"
"(0, 18), neighbors:2500, best: (25, 43), C, 0"
"(0, 19), neighbors:2500, best: (25, 44), D, 0"
"(0, 20), neighbors:2500, best: (25, 45), C, 0"
"(0, 21), neighbors:2500, best: (25, 46), D, 0"
"(0, 22), neighbors:2500, best: (25, 47), D, 0"
"(0, 23), neighbors:2500, best: (25, 48), D, 0"
"(0, 24), neighbors:2500, best: (25, 49), C, 0"
"(0, 25), neighbors:2500, best: (25, 0), C, 0"
"(0, 26), neighbors:2500, best: (25, 1), D, 0"
"(0, 27), neighbors:2500, best: (25, 2), D, 0"
"(0, 28), neighbors:2500, best: (25, 3), D, 0"
"(0, 29), neighbors:2500, best: (25, 4), D, 0"
"(0, 30), neighbors:2500, best: (25, 5), D, 0"
"(0, 31), neighbors:2500, best: (25, 6), D, 0"
"(0, 32), neighbors:2500, best: (25, 7), D, 0"
"(0, 33), neighbors:2500, best: (25, 8), C, 0"
"(0, 34), neighbors:2500, best: (25, 9), D, 0"
"(0, 35), neighbors:2500, best: (25, 10), C, 0"
"(0, 36), neighbors:2500, best: (25, 11), D, 0"
"(0, 37), neighbors:2500, best: (25, 12), D, 0"
"(0, 38), neighbors:2500, best: (25, 13), D, 0"
"(0, 39), neighbors:2500, best: (25, 14), D, 0"
"(0, 40), neighbors:2500, best: (25, 15), D, 0"
"(0, 41), neighbors:2500, best: (25, 16), C, 0"
"(0, 42), neighbors:2500, best: (25, 17), C, 0"
"(0, 43), neighbors:2500, best: (25, 18), D, 0"
"(0, 44), neighbors:2500, best: (25, 19), C, 0"
"(0, 45), neighbors:2500, best: (25, 20), C, 0"
"(0, 46), neighbors:2500, best: (25, 21), D, 0"
"(0, 47), neighbors:2500, best: (25, 22), D, 0"
"(0, 48), neighbors:2500, best: (25, 23), D, 0"
"(0, 49), neighbors:2500, best: (25, 24), D, 0"
"(1, 0), neighbors:2500, best: (26, 25), D, 0"
"(1, 1), neighbors:2500, best: (26, 26), D, 0"
"(1, 2), neighbors:2500, best: (26, 27), D, 0"
"(1, 3), neighbors:2500, best: (26, 28), D, 0"
"(1, 4), neighbors:2500, best: (26, 29), C, 0"
"(1, 5), neighbors:2500, best: (26, 30), D, 0"
"(1, 6), neighbors:2500, best: (26, 31), D, 0"
"(1, 7), neighbors:2500, best: (26, 32), C, 0"
"(1, 8), neighbors:2500, best: (26, 33), D, 0"
"(1, 9), neighbors:2500, best: (26, 34), D, 0"
"(1, 10), neighbors:2500, best: (26, 35), D, 0"
"(1, 11), neighbors:2500, best: (26, 36), D, 0"
"(1, 12), neighbors:2500, best: (26, 37), C, 0"
"(1, 13), neighbors:2500, best: (26, 38), C, 0"
"(1, 14), neighbors:2500, best: (26, 39), D, 0"
"(1, 15), neighbors:2500, best: (26, 40), C, 0"
"(1, 16), neighbors:2500, best: (26, 41), C, 0"
"(1, 17), neighbors:2500, best: (26, 42), C, 0"
"(1, 18), neighbors:2500, best: (26, 43), D, 0"
"(1, 19), neighbors:2500, best: (26, 44), C, 0"
"(1, 20), neighbors:2500, best: (26, 45), D, 0"
"(1, 21), neighbors:2500, best: (26, 46), D, 0"
"(1, 22), neighbors:2500, best: (26, 47), D, 0"
"(1, 23), neighbors:2500, best: (26, 48), C, 0"
"(1, 24), neighbors:2500, best: (26, 49), D, 0"
"(1, 25), neighbors:2500, best: (26, 0), D, 0"
"(1, 26), neighbors:2500, best: (26, 1), C, 0"
"(1, 27), neighbors:2500, best: (26, 2), C, 0"
"(1, 28), neighbors:2500, best: (26, 3), C, 0"
"(1, 29), neighbors:2500, best: (26, 4), C, 0"
"(1, 30), neighbors:2500, best: (26, 5), C, 0"
"(1, 31), neighbors:2500, best: (26, 6), D, 0"
"(1, 32), neighbors:2500, best: (26, 7), C, 0"
"(1, 33), neighbors:2500, best: (26, 8), C, 0"
"(1, 34), neighbors:2500, best: (26, 9), C, 0"
"(1, 35), neighbors:2500, best: (26, 10), D, 0"
"(1, 36), neighbors:2500, best: (26, 11), D, 0"
"(1, 37), neighbors:2500, best: (26, 12), C, 0"
"(1, 38), neighbors:2500, best: (26, 13), D, 0"
"(1, 39), neighbors:2500, best: (26, 14), D, 0"
"(1, 40), neighbors:2500, best: (26, 15), D, 0"
"(1, 41), neighbors:2500, best: (26, 16), C, 0"
"(1, 42), neighbors:2500, best: (26, 17), C, 0"
"(1, 43), neighbors:2500, best: (26, 18), C, 0"
"(1, 44), neighbors:2500, best: (26, 19), D, 0"
"(1, 45), neighbors:2500, best: (26, 20), D, 0"
"(1, 46), neighbors:2500, best: (26, 21), D, 0"
"(1, 47), neighbors:2500, best: (26, 22), D, 0"
"(1, 48), neighbors:2500, best: (26, 23), D, 0"
